Imagem,IoU
D01_F1_M.jpg,0.987779408194806
D01_F2_M.jpg,0.8313472257028676
D01_F3_M.jpg,0.9727364359334454
D01_F4_M.jpg,0.989583986175941
D01_F5_M.jpg,0.992336956191147
D02_F1_M.jpg,0.49145938831213853
D02_F2_M.jpg,0.9869438547891055
D02_F3_M.jpg,0.8036557560263421
D02_F4_M.jpg,0.987820964227728
D02_F5_M.jpg,0.9889660334689533
D03_F1_M.jpg,0.9726945688096812
D03_F2_M.jpg,0.6694365999891915
D03_F3_M.jpg,0.9894080542903444
D03_F4_M.jpg,0.9917453942258905
D03_F5_M.jpg,0.7818705311093457
D04_F1_M.jpg,0.9501280834343223
D04_F2_M.jpg,0.9887434636096677
D04_F3_M.jpg,0.9050480278832495
D04_F4_M.jpg,0.9893390343624165
D04_F5_M.jpg,0.6047844601520096
D05_F1_M.jpg,0.9917609202620676
D05_F2_M.jpg,0.9485636987506598
D05_F3_M.jpg,0.7929305741165235
D05_F4_M.jpg,0.9928405436464772
D05_F5_M.jpg,0.9868272230915905
D06_F1_M.jpg,0.9537703926586429
D06_F2_M.jpg,0.9880638559678179
D06_F3_M.jpg,0.9767924028470966
D06_F4_M.jpg,0.9864664464834644
D06_F5_M.jpg,0.5716435587834061
D07_F1_M.jpg,0.9887547543385029
D07_F2_M.jpg,0.9827010740669195
D07_F3_M.jpg,0.9891843827089875
D07_F4_M.jpg,0.9931588431479914
D07_F5_M.jpg,0.9849825403710593
D08_F1_M.jpg,0.0
D08_F2_M.jpg,0.9869670974912429
D08_F3_M.jpg,0.992243362140888
D08_F4_M.jpg,0.9910092910614154
D08_F5_M.jpg,0.9854017294167864
D09_F1_M.jpg,0.992167351841195
D09_F2_M.jpg,0.9684386504103482
D09_F3_M.jpg,0.9697201319932377
D09_F4_M.jpg,0.99155599856358
D09_F5_M.jpg,0.9728670659050584
D10_F1_M.jpg,0.9901616536667684
D10_F2_M.jpg,0.9605826495667746
D10_F3_M.jpg,0.987942766478486
D10_F4_M.jpg,0.30968302813671456
D10_F5_M.jpg,0.9798213841389422
D11_F1_M.jpg,0.9924195940072609
D11_F2_M.jpg,0.26349769468564377
D11_F3_M.jpg,0.9913145730893625
D11_F4_M.jpg,0.98662525926327
D11_F5_M.jpg,0.9334601340200994
D12_F1_M.jpg,0.9849100359560017
D12_F2_M.jpg,0.9654810980039744
D12_F3_M.jpg,0.9348569879688781
D12_F4_M.jpg,0.9717047438707734
D12_F5_M.jpg,0.9578627717031188
D13_F1_M.jpg,0.9888957514674231
D13_F2_M.jpg,0.9857018328337818
D13_F3_M.jpg,0.9522250553879985
D13_F4_M.jpg,0.9728418054699424
D13_F5_M.jpg,0.9843871947636945
D14_F1_M.jpg,0.9680109439749156
D14_F2_M.jpg,0.03375572489020627
D14_F3_M.jpg,0.0
